Cantidad,Name,Price (€),Uniform Price (€),Super
70 cl,"Licor de crema limoncello CASTALI, botella 70 cl",6.6,9.43,Eroski
500 ml,Licor de limoncello 25º Alvini botella 50 cl,4.89,9.78,Dia
500 ml,Crema de limoncello 16º Alvini botella 50 cl,4.99,9.98,Dia
700ml,LICOR MEDITERRÁNEO Limoncello (licor de limón tradicional italiano) botella 70 cl.,8.12,11.6,Alcampo
700ml,GOLFODORO Licor de limón (limoncello) de origen italiano y elaborado de forma tradicional GOLFODORO botella de 70 cl.,8.49,12.13,Alcampo
700ml,DEL MEDITERRANEO Crema de Limoncello botella 70 cl.,8.99,12.84,Alcampo
70 cl,"Limoncello DI CAPRI, botella 70 cl",14.35,20.5,Eroski
700ml,VILLA MASSA Limoncello VILLA MASSA botella de 70 cl.,14.95,21.36,Alcampo
70 cl,"Limoncello VILLA MASSA, botella 70 cl",15.6,22.29,Eroski
